ProblemID,IsCovered,ProblemToSolveTheorems,SimilarProblemsTheorems
51,True,1,18
51,True,1,18
51,True,1,18
51,True,1,18
51,True,1,18
51,True,1,18
51,True,1,18
51,True,1,18
51,True,1,18
2795,True,1,47
2795,True,1,47
380,True,1,27
380,True,1,27
4187,True,3,10
4187,True,3,10
4187,True,3,10
4187,True,3,10
4187,True,3,10
4187,True,3,10
4187,True,3,10
1975,True,1,32
1490,True,1,42
1490,True,1,42
1726,True,1,11
178,True,1,20
2669,True,1,48
2614,True,1,36
51,True,1,18
51,True,1,18
2323,True,1,7
192,True,1,32
2624,True,1,33
1490,True,1,42
1726,True,1,11
2614,True,1,36
1726,True,1,11
1726,True,1,11
1726,True,1,11
2624,True,1,33
2669,True,1,48
1726,True,1,11
1726,True,1,11
1726,True,1,11
2669,True,1,48
69,True,2,22
144,True,2,6
358,True,2,8
991,True,2,39
2410,True,2,25
991,True,2,39
2410,True,2,25
4473,True,2,16
4523,True,2,15
5645,True,2,10
127,True,2,14
4483,True,2,15
2410,True,2,25
844,False,3,31
844,False,3,31
4187,True,3,10
4476,True,3,8
4476,True,3,8
844,False,3,31
4476,True,3,8
1945,True,2,21
4099,True,2,19
4254,True,2,23
2200,True,2,23
2765,True,2,12
2765,True,2,12
2765,True,2,12
5062,True,2,47
5062,True,2,47
5062,True,2,47
5244,True,3,37
5244,True,3,37
2114,True,4,40
6155,True,3,20
3272,True,4,17
3272,True,4,17
3272,True,4,17
3634,False,4,13
3634,False,4,13
5230,True,1,34
5399,True,4,37
5399,True,4,37
4797,True,4,27
4797,True,4,27
464,True,3,42
464,True,3,42
6924,True,4,20
6924,True,4,20
6924,True,4,20
5510,True,2,57
5510,True,2,57
5510,True,2,57
6485,True,4,50
437,True,3,67
696,True,3,31
532,True,2,22
532,True,2,22
532,True,2,22
847,True,4,32
847,True,4,32
847,True,4,32
5080,True,4,4
5080,True,4,4
5080,True,4,4
5431,False,4,46
5431,False,4,46
5431,False,4,46
5563,True,4,19
5440,True,3,69
5440,True,3,69
5440,True,3,69
6660,True,4,13
3272,True,4,17
3272,True,4,17
6924,True,4,20
5510,True,2,57
5062,True,2,47
5062,True,2,47
5062,True,2,47
5244,True,3,37
5244,True,3,37
5244,True,3,37
2765,True,2,12
2765,True,2,12
2765,True,2,12
5062,True,2,47
5062,True,2,47
5062,True,2,47
5244,True,3,37
5244,True,3,37
5244,True,3,37
2765,True,2,12
2765,True,2,12
2765,True,2,12
